,video,frame,path,number_of_cells,centers_x,centers_y,radius,index_trajectoriessplit,number_of_cells_corrected
0,E00,1,E00/Frame001.png,1,[258],[241],[103],,1
1,E00,2,E00/Frame002.png,1,[261],[248],[104],,1
2,E00,3,E00/Frame003.png,1,[265],[253],[104],,1
3,E00,4,E00/Frame004.png,1,[267],[257],[106],,1
4,E00,5,E00/Frame005.png,1,[267],[260],[106],,1
5,E00,6,E00/Frame006.png,1,[268],[261],[106],,1
6,E00,7,E00/Frame007.png,1,[268],[262],[106],,1
7,E00,8,E00/Frame008.png,1,[269],[263],[106],,1
8,E00,9,E00/Frame009.png,1,[269],[263],[106],,1
9,E00,10,E00/Frame010.png,1,[268],[263],[106],,1
10,E00,11,E00/Frame011.png,1,[268],[262],[106],,1
11,E00,12,E00/Frame012.png,1,[267],[261],[106],,1
12,E00,13,E00/Frame013.png,1,[267],[260],[106],,1
13,E00,14,E00/Frame014.png,1,[266],[258],[106],,1
14,E00,15,E00/Frame015.png,1,[266],[257],[106],,1
15,E00,16,E00/Frame016.png,1,[266],[255],[106],,1
16,E00,17,E00/Frame017.png,1,[266],[254],[106],,1
17,E00,18,E00/Frame018.png,1,[266],[253],[106],,1
18,E00,19,E00/Frame019.png,1,[266],[252],[106],,1
19,E00,20,E00/Frame020.png,1,[265],[251],[106],,1
20,E00,21,E00/Frame021.png,1,[265],[251],[107],,1
21,E00,22,E00/Frame022.png,1,[265],[251],[108],,1
22,E00,23,E00/Frame023.png,1,[266],[253],[110],,1
23,E00,24,E00/Frame024.png,2,"[234, 306]","[242, 274]","[82, 85]",,2
24,E00,25,E00/Frame025.png,2,"[233, 307]","[243, 275]","[81, 81]",,2
25,E00,26,E00/Frame026.png,2,"[232, 307]","[243, 274]","[81, 79]",,2
26,E00,27,E00/Frame027.png,2,"[232, 307]","[242, 274]","[81, 78]",,2
27,E00,28,E00/Frame028.png,2,"[232, 306]","[242, 275]","[80, 79]",,2
28,E00,29,E00/Frame029.png,2,"[232, 305]","[241, 275]","[81, 79]",,2
29,E00,30,E00/Frame030.png,2,"[232, 304]","[240, 275]","[81, 79]",,2
30,E00,31,E00/Frame031.png,2,"[232, 303]","[240, 277]","[81, 80]",,2
31,E00,32,E00/Frame032.png,2,"[233, 301]","[239, 278]","[81, 80]",,2
32,E00,33,E00/Frame033.png,2,"[233, 300]","[238, 278]","[81, 80]",,2
33,E00,34,E00/Frame034.png,2,"[233, 299]","[236, 278]","[80, 80]",,2
34,E00,35,E00/Frame035.png,2,"[233, 297]","[235, 278]","[79, 80]",,2
35,E00,36,E00/Frame036.png,2,"[233, 296]","[233, 277]","[79, 81]",,2
36,E00,37,E00/Frame037.png,2,"[233, 295]","[232, 277]","[79, 81]",,2
37,E00,38,E00/Frame038.png,2,"[232, 295]","[231, 276]","[79, 81]",,2
38,E00,39,E00/Frame039.png,2,"[232, 294]","[231, 275]","[79, 81]",,2
39,E00,40,E00/Frame040.png,2,"[232, 294]","[230, 274]","[81, 80]",,2
40,E00,41,E00/Frame041.png,2,"[232, 294]","[229, 273]","[81, 80]",,2
41,E00,42,E00/Frame042.png,2,"[232, 293]","[227, 272]","[80, 80]",,2
42,E00,43,E00/Frame043.png,2,"[232, 293]","[225, 271]","[81, 80]",,2
43,E00,44,E00/Frame044.png,2,"[232, 292]","[223, 270]","[81, 81]",,2
44,E00,45,E00/Frame045.png,2,"[232, 292]","[220, 269]","[80, 81]",,2
45,E00,46,E00/Frame046.png,2,"[231, 291]","[219, 269]","[81, 82]",,2
46,E00,47,E00/Frame047.png,2,"[231, 291]","[217, 268]","[81, 82]",,2
47,E00,48,E00/Frame048.png,2,"[230, 291]","[216, 268]","[81, 83]",,2
48,E00,49,E00/Frame049.png,2,"[230, 291]","[215, 268]","[81, 83]",,2
49,E00,50,E00/Frame050.png,2,"[229, 290]","[213, 267]","[80, 83]",,2
50,E00,51,E00/Frame051.png,2,"[229, 290]","[212, 267]","[80, 83]",,2
51,E00,52,E00/Frame052.png,2,"[228, 290]","[210, 267]","[80, 83]",,2
52,E00,53,E00/Frame053.png,2,"[228, 290]","[208, 266]","[80, 83]",,2
53,E00,54,E00/Frame054.png,2,"[228, 290]","[206, 266]","[80, 83]",,2
54,E00,55,E00/Frame055.png,2,"[227, 290]","[205, 266]","[80, 83]",,2
55,E00,56,E00/Frame056.png,2,"[227, 291]","[203, 266]","[80, 83]",,2
56,E00,57,E00/Frame057.png,2,"[227, 291]","[201, 266]","[79, 82]",,2
57,E00,58,E00/Frame058.png,2,"[226, 291]","[199, 266]","[79, 82]",,2
58,E00,59,E00/Frame059.png,2,"[226, 291]","[198, 266]","[79, 82]",,2
59,E00,60,E00/Frame060.png,2,"[225, 290]","[197, 266]","[79, 82]",,2
60,E00,61,E00/Frame061.png,2,"[225, 290]","[196, 266]","[79, 82]",,2
61,E00,62,E00/Frame062.png,2,"[224, 289]","[195, 266]","[79, 82]",,2
62,E00,63,E00/Frame063.png,2,"[224, 288]","[194, 266]","[79, 82]",,2
63,E00,64,E00/Frame064.png,2,"[224, 287]","[194, 266]","[79, 82]",,2
64,E00,65,E00/Frame065.png,2,"[223, 287]","[194, 266]","[79, 83]",,2
65,E00,66,E00/Frame066.png,2,"[223, 287]","[194, 265]","[79, 83]",,2
66,E00,67,E00/Frame067.png,2,"[223, 287]","[194, 265]","[79, 83]",,2
67,E00,68,E00/Frame068.png,2,"[223, 287]","[194, 265]","[79, 83]",,2
68,E00,69,E00/Frame069.png,2,"[223, 287]","[194, 265]","[79, 83]",,2
69,E00,70,E00/Frame070.png,2,"[223, 287]","[194, 266]","[79, 82]",,2
70,E00,71,E00/Frame071.png,2,"[223, 287]","[194, 266]","[79, 82]",,2
71,E00,72,E00/Frame072.png,2,"[224, 287]","[194, 266]","[79, 82]",,2
72,E00,73,E00/Frame073.png,2,"[224, 287]","[194, 267]","[79, 82]",,2
73,E00,74,E00/Frame074.png,2,"[225, 287]","[194, 267]","[79, 83]",,2
74,E00,75,E00/Frame075.png,2,"[225, 287]","[194, 267]","[79, 83]",,2
75,E00,76,E00/Frame076.png,2,"[225, 287]","[193, 267]","[79, 83]",,2
76,E00,77,E00/Frame077.png,2,"[226, 287]","[193, 266]","[79, 83]",,2
